書物,しょもつ,,3,（しょもつ）①【名】书籍
女優,じょゆう,,3,（じょゆう）⓪【名】女演员
処理,しょり,,3,(しょりする) 动3 处理，解决
書類,しょるい,,3,（しょるい）⓪【名】文件，资料
知らせ,しらせ,,3,(しらせ) 名词 消息，通知
尻,しり,,3,臀部
知合い,しりあい,,3,熟人
印,しるし,,3,（しるし）⓪【名】符号，记号；象征；证据
城,しろ,,3,(しろ) 名词 城，城堡
進学,しんがく,,3,（しんがく）⓪【名·自动3】升学
神経,しんけい,,3,（しんけい）①【名】神经；感觉，感受
真剣,しんけん,,3,(しんけん) 形容动词 认真，正经，严肃
信仰,しんこう,,3,（しんこう）⓪【名·他动3】信仰
信号,しんごう,,3,（しんごう）⓪【名】信号；红绿灯
人工,じんこう,,3,(じんこう) 名词 人工
深刻,しんこく,,3,(しんこく0) 形容动词 严肃，严重；深刻
診察,しんさつ,,3,(しんさつ) 名词 看病．检查．诊察
人種,じんしゅ,,3,（じんしゅ）⓪【名】人种；种族
信じる,しんじる,,3,（しんじる）③【他动2】相信；确信
人生,じんせい,,3,(じんせい1) 名词 人生
親戚,しんせき,,3,(しんせき) 名词 亲戚，亲属
新鮮,しんせん,,3,（しんせん）⓪【名·ナ形】新鲜，鲜活
心臓,しんぞう,,3,(しんぞう) 动3 心脏
身体,しんたい,,3,（しんたい）①【名】身体
身長,しんちょう,,3,(しんちょう) 名词 身高，身长
慎重,しんちょう,,3,（しんちょう）⓪【名·ナ形】慎重，谨慎
審判,しんぱん,,3,(しんぱん) 名词 裁判（员）；审判，判决
人物,じんぶつ,,3,人物；人品
進歩,しんぽ,,3,(しんぽ1) 名词 进步
親友,しんゆう,,3,(しんゆう) 名词 好朋友，好友，密友，至交
信用,しんよう,,3,(しんよう) 名词 信用，诚信
信頼,しんらい,,3,（しんらい）⓪【名·他动3】信赖
心理,しんり,,3,（しんり）①【名】心理
人類,じんるい,,3,(じんるい) 名词 人类
巣,す,,3,(す) 名词 巢，巢穴
酢,す,,3,(す) 名词 醋
図,ず,,3,（ず）⓪【名】图
水準,すいじゅん,,3,（すいじゅん）⓪【名】水准；水平，标准
推薦,すいせん,,3,（すいせん）⓪【名·他动3】推荐
スイッチ,スイッチ,,3,（switch）②【名】电源开关
睡眠,すいみん,,3,（すいみん）⓪【名·自动3】睡眠，睡觉；休眠
